Score,Classification,Credit_Category
462,2,Good
462,2,Good
455,2,Good
449,2,Good
454,2,Good
449,2,Good
458,2,Good
458,2,Good
446,2,Good
443,2,Good
443,2,Good
446,2,Good
447,2,Good
446,2,Good
446,2,Good
446,2,Good
426,2,Good
417,2,Good
427,2,Good
430,2,Good
420,2,Good
423,2,Good
423,2,Good
423,2,Good
442,2,Good
436,2,Good
438,2,Good
434,2,Good
435,2,Good
442,2,Good
436,2,Good
437,2,Good
394,1,Standard
415,2,Good
394,1,Standard
415,2,Good
405,1,Standard
394,1,Standard
388,1,Standard
399,1,Standard
429,2,Good
434,2,Good
434,2,Good
434,2,Good
423,2,Good
435,2,Good
437,2,Good
434,2,Good
474,2,Good
482,2,Good
474,2,Good
472,2,Good
473,2,Good
476,2,Good
474,2,Good
474,2,Good
361,1,Standard
352,1,Standard
335,1,Standard
352,1,Standard
356,1,Standard
337,1,Standard
361,1,Standard
352,1,Standard
420,2,Good
420,2,Good
423,2,Good
422,2,Good
426,2,Good
424,2,Good
422,2,Good
422,2,Good
425,2,Good
415,2,Good
420,2,Good
426,2,Good
425,2,Good
421,2,Good
424,2,Good
429,2,Good
377,1,Standard
352,1,Standard
352,1,Standard
350,1,Standard
348,1,Standard
352,1,Standard
352,1,Standard
352,1,Standard
442,2,Good
407,1,Standard
436,2,Good
436,2,Good
436,2,Good
436,2,Good
439,2,Good
442,2,Good
385,1,Standard
384,1,Standard
421,2,Good
379,1,Standard
392,1,Standard
401,1,Standard
385,1,Standard
385,1,Standard
317,0,Poor
300,0,Poor
326,0,Poor
301,0,Poor
301,0,Poor
301,0,Poor
303,0,Poor
326,0,Poor
379,1,Standard
353,1,Standard
353,1,Standard
353,1,Standard
369,1,Standard
369,1,Standard
356,1,Standard
354,1,Standard
384,1,Standard
379,1,Standard
389,1,Standard
400,1,Standard
384,1,Standard
384,1,Standard
384,1,Standard
384,1,Standard
344,1,Standard
344,1,Standard
358,1,Standard
344,1,Standard
370,1,Standard
349,1,Standard
361,1,Standard
344,1,Standard
348,1,Standard
348,1,Standard
349,1,Standard
348,1,Standard
359,1,Standard
347,1,Standard
353,1,Standard
338,1,Standard
381,1,Standard
390,1,Standard
397,1,Standard
377,1,Standard
397,1,Standard
383,1,Standard
376,1,Standard
381,1,Standard
306,0,Poor
333,1,Standard
317,0,Poor
307,0,Poor
307,0,Poor
322,0,Poor
304,0,Poor
304,0,Poor
380,1,Standard
380,1,Standard
364,1,Standard
364,1,Standard
364,1,Standard
364,1,Standard
364,1,Standard
395,1,Standard
331,1,Standard
356,1,Standard
330,1,Standard
336,1,Standard
327,1,Standard
334,1,Standard
325,0,Poor
330,1,Standard
453,2,Good
469,2,Good
430,2,Good
459,2,Good
455,2,Good
454,2,Good
454,2,Good
452,2,Good
390,1,Standard
378,1,Standard
378,1,Standard
377,1,Standard
384,1,Standard
378,1,Standard
385,1,Standard
378,1,Standard
257,0,Poor
250,0,Poor
256,0,Poor
256,0,Poor
260,0,Poor
258,0,Poor
255,0,Poor
256,0,Poor
372,1,Standard
370,1,Standard
372,1,Standard
372,1,Standard
374,1,Standard
389,1,Standard
371,1,Standard
404,1,Standard
296,0,Poor
297,0,Poor
280,0,Poor
291,0,Poor
282,0,Poor
282,0,Poor
265,0,Poor
304,0,Poor
376,1,Standard
380,1,Standard
376,1,Standard
376,1,Standard
377,1,Standard
374,1,Standard
376,1,Standard
376,1,Standard
386,1,Standard
395,1,Standard
366,1,Standard
386,1,Standard
369,1,Standard
374,1,Standard
369,1,Standard
369,1,Standard
260,0,Poor
286,0,Poor
260,0,Poor
260,0,Poor
260,0,Poor
260,0,Poor
260,0,Poor
261,0,Poor
456,2,Good
444,2,Good
452,2,Good
454,2,Good
456,2,Good
451,2,Good
451,2,Good
451,2,Good
357,1,Standard
326,0,Poor
326,0,Poor
326,0,Poor
326,0,Poor
327,1,Standard
337,1,Standard
326,0,Poor
389,1,Standard
374,1,Standard
373,1,Standard
373,1,Standard
379,1,Standard
373,1,Standard
391,1,Standard
375,1,Standard
394,1,Standard
394,1,Standard
405,1,Standard
402,1,Standard
401,1,Standard
394,1,Standard
400,1,Standard
389,1,Standard
418,2,Good
410,2,Good
410,2,Good
412,2,Good
410,2,Good
417,2,Good
410,2,Good
410,2,Good
390,1,Standard
365,1,Standard
365,1,Standard
370,1,Standard
365,1,Standard
369,1,Standard
374,1,Standard
391,1,Standard
299,0,Poor
323,0,Poor
300,0,Poor
299,0,Poor
299,0,Poor
300,0,Poor
293,0,Poor
299,0,Poor
379,1,Standard
379,1,Standard
392,1,Standard
403,1,Standard
379,1,Standard
376,1,Standard
379,1,Standard
376,1,Standard
318,0,Poor
317,0,Poor
339,1,Standard
315,0,Poor
333,1,Standard
321,0,Poor
325,0,Poor
317,0,Poor
415,2,Good
413,2,Good
413,2,Good
412,2,Good
413,2,Good
413,2,Good
413,2,Good
408,1,Standard
390,1,Standard
390,1,Standard
392,1,Standard
390,1,Standard
390,1,Standard
396,1,Standard
390,1,Standard
390,1,Standard
265,0,Poor
265,0,Poor
262,0,Poor
265,0,Poor
291,0,Poor
270,0,Poor
265,0,Poor
265,0,Poor
427,2,Good
401,1,Standard
402,1,Standard
393,1,Standard
387,1,Standard
